time,x,y,z,vx,vy,vz,Eccentricity
0,0.24674847174804562,9.742811164890668,-0.929171184320019,0.0,197.40806046974836,2004.0805858997355,0.0,0.04371751917473844
0,0.24680998289378522,9.754177573280206,-0.8058271675423366,0.0,172.15986331022145,2006.3268333374333,0.0,0.04420789638999593
0,0.24687219907674948,9.764093625698075,-0.6809389189226568,0.0,146.59753374363692,2008.2733907575378,0.0,0.044352156850269144
0,0.24693633749023225,9.77265048022067,-0.5520762311443426,0.0,120.2238274891176,2009.9372166209673,0.0,0.04397714580399083
0,0.24700257368574688,9.779711120745734,-0.418898787728908,0.0,92.96934663386396,2011.2898977876655,0.0,0.04292884587071821
0,0.2470708919280096,9.785101956483459,-0.28145438549736684,0.0,64.84414946628073,2012.2958017580477,0.0,0.041109149220588975
0,0.24714180255492635,9.788664782568802,-0.13873652042086976,0.0,35.6425996888092,2012.92168772983,0.0,0.03847547543697346
0,0.24721385192040923,9.790163825044468,0.006303042669271869,0.0,5.968948782784247,2013.1213456744088,0.0,0.03515940467371505
0,0.24728374403310988,9.789575152447215,0.1469988434493911,0.0,-22.81310558590138,2012.8949310838002,0.0,0.03152694407915651
0,0.24735040584031148,9.787139616723803,0.2811641064802422,0.0,-50.256474506167024,2012.2936912809014,0.0,0.027901940714986233
0,0.24741588074732845,9.78296699395195,0.41288951402299884,0.0,-77.19810061947827,2011.3372094862802,0.0,0.02440326221816946
0,0.2474810824835866,9.777059359447733,0.543991352476579,0.0,-104.00948226334842,2010.0246268072522,0.0,0.021163062324822752
0,0.24754752297097324,9.769241947659646,0.6774837310976618,0.0,-131.30688799005048,2008.3178417606687,0.0,0.01823342494743913
0,0.24761038117240003,9.760177238872918,0.8036632008633038,0.0,-157.1061633274046,2006.360355359086,0.0,0.01582284310090326
0,0.24767203705627497,9.749711333548678,0.9272996082510023,0.0,-182.3828070910109,2004.117014851871,0.0,0.013712436389837426
0,0.24773519549817546,9.737375538316826,1.0537952433051985,0.0,-208.24118378014845,2001.4875251879675,0.0,0.01164693251124409
0,0.24779727691796308,9.723659629618354,1.1779617421474113,0.0,-233.6205762565195,1998.5764764060489,0.0,0.009530926356568749
